"","LATITUDE","LONGITUDE","STATION","STRATUM","YEAR","DATETIME","WTCPUE","NUMCPUE","COMMON","SCIENTIFIC","SID","BOT_DEPTH","BOT_TEMP","SURF_TEMP","VESSEL","CRUISE","HAUL"
"42139","60.67333","-173.4725","R-25","41","1986","07/12/1986 09:00",".0103",".4577","Arctic cod","Boreogadus saida","21725","70","-.6","7.6","57","198602","150                                                                                                                                                                                                                                                                                                                                                                                             "
"42214","60.98417","-172.1555","S-23","41","1986","07/11/1986 14:00",".1018","4.9314","Arctic cod","Boreogadus saida","21725","68","-1.6","8.1","57","198602","148                                                                                                                                                                                                                                                                                                                                                                                           "
"42235","60.99083","-171.48117","S-22","41","1986","07/08/1986 18:00","1.4108","60.9616","Arctic cod","Boreogadus saida","21725","59","-1.3","8.1","37","198601","128                                                                                                                                                                                                                                                                                                                                                                                        "
"42314","59.50867","-172.876","ON2524","43","1986","07/10/1986 09:00",".0098",".6512","Arctic cod","Boreogadus saida","21725","93","-.3","7.5","37","198601","135                                                                                                                                                                                                                                                                                                                                                                                            "
"42370","60.00717","-172.65","P-24","43","1986","07/09/1986 16:00",".0417","1.3834","Arctic cod","Boreogadus saida","21725","64","-.6","7.7","37","198601","132                                                                                                                                                                                                                                                                                                                                                                                              "
"42415","60.99233","-174.21067","S-26","41","1986","07/27/1986 09:00",".0196",".215","Arctic cod","Boreogadus saida","21725","88","-1.4","6.3","57","198602","196                                                                                                                                                                                                                                                                                                                                                                                            "
"42449","61.01183","-172.782","S-24","41","1986","07/09/1986 07:00",".0273","1.2056","Arctic cod","Boreogadus saida","21725","66","-1.1","7.5","37","198601","129                                                                                                                                                                                                                                                                                                                                                                                            "
"42597","60.00967","-169.981","P-20","41","1986","07/01/1986 14:00",".3384","14.7049","Arctic cod","Boreogadus saida","21725","53","-1","6","37","198601","97                                                                                                                                                                                                                                                                                                                                                                                                "
"42757","60.02483","-170.64517","P-21","41","1986","07/04/1986 16:00",".0411","1.5905","Arctic cod","Boreogadus saida","21725","68","-1.7","6.2","57","198602","117                                                                                                                                                                                                                                                                                                                                                                                          "
"42772","59.6505","-169.267","O-19","20","1986","07/03/1986 17:00",".0103",".2285","Arctic cod","Boreogadus saida","21725","49","0","5.1","57","198602","113                                                                                                                                                                                                                                                                                                                                                                                                 "
"42861","60.11717","-173.74083","QP2625","43","1986","07/13/1986 07:00",".0197","1.0822","Arctic cod","Boreogadus saida","21725","91","-.7","6.9","57","198602","155                                                                                                                                                                                                                                                                                                                                                                                         "
"42879","60.14767","-172.28517","QP2423","43","1986","07/11/1986 06:00",".0098",".4369","Arctic cod","Boreogadus saida","21725","60","1.1","7","57","198602","145                                                                                                                                                                                                                                                                                                                                                                                            "
"42967","59.66017","-171.24133","O-22","41","1986","07/08/1986 07:00",".1018","2.0177","Arctic cod","Boreogadus saida","21725","71","-1.2","7.1","37","198601","124                                                                                                                                                                                                                                                                                                                                                                                          "
"42990","60.17367","-174.33933","QP2726","43","1986","07/16/1986 13:00",".0383","1.4802","Arctic cod","Boreogadus saida","21725","104","-.2","7.1","57","198602","169                                                                                                                                                                                                                                                                                                                                                                                        "
"43027","60.1775","-173.01117","QP2524","43","1986","07/09/1986 14:00",".0104",".2313","Arctic cod","Boreogadus saida","21725","57","-.2","7.7","37","198601","131                                                                                                                                                                                                                                                                                                                                                                                           "
"43175","60.32217","-171.35933","Q-22","41","1986","07/08/1986 12:00",".1032","2.0466","Arctic cod","Boreogadus saida","21725","64","-1.3","7.4","37","198601","126                                                                                                                                                                                                                                                                                                                                                                                          "
"43247","59.67233","-173.22983","O-25","43","1986","07/13/1986 15:00",".0951","1.6757","Arctic cod","Boreogadus saida","21725","99","-.4","7.4","57","198602","158                                                                                                                                                                                                                                                                                                                                                                                           "
"43378","59.67767","-169.92267","O-20","41","1986","07/01/1986 17:00",".5189","25.7878","Arctic cod","Boreogadus saida","21725","55","-1","6.2","37","198601","98                                                                                                                                                                                                                                                                                                                                                                                            "
"43396","60.32567","-173.3495","Q-25","43","1986","07/12/1986 16:00",".0401","1.7706","Arctic cod","Boreogadus saida","21725","64","-.6","7.6","57","198602","153                                                                                                                                                                                                                                                                                                                                                                                            "
"43521","59.69483","-170.61867","O-21","41","1986","07/05/1986 06:00",".1003","2.2097","Arctic cod","Boreogadus saida","21725","70","-1.2","5.5","57","198602","118                                                                                                                                                                                                                                                                                                                                                                                          "
"43553","60.33117","-170.02433","Q-20","20","1986","07/01/1986 12:00",".2836","27.5062","Arctic cod","Boreogadus saida","21725","49","-.8","5.7","37","198601","96                                                                                                                                                                                                                                                                                                                                                                                           "
"43615","59.80983","-172.912","PO2524","43","1986","07/09/1986 20:00",".0298","1.0957","Arctic cod","Boreogadus saida","21725","80","-.8","7.5","37","198601","133                                                                                                                                                                                                                                                                                                                                                                                           "
"43660","59.82817","-172.23017","PO2423","43","1986","07/10/1986 14:00",".0096",".4275","Arctic cod","Boreogadus saida","21725","79","-1.2","7.4","57","198602","143                                                                                                                                                                                                                                                                                                                                                                                         "
"43677","59.84183","-173.56717","PO2625","43","1986","07/13/1986 12:00",".0095",".4244","Arctic cod","Boreogadus saida","21725","99","-.4","7.3","57","198602","157                                                                                                                                                                                                                                                                                                                                                                                          "
"43748","60.3375","-172.056","Q-23","43","1986","07/11/1986 08:00",".0203",".6682","Arctic cod","Boreogadus saida","21725","62","-1.5","6.1","57","198602","146                                                                                                                                                                                                                                                                                                                                                                                              "
"43923","59.98533","-172.0095","P-23","43","1986","07/10/1986 16:00",".0202","1.1121","Arctic cod","Boreogadus saida","21725","70","-1.2","7.5","57","198602","144                                                                                                                                                                                                                                                                                                                                                                                           "
"43961","59.9915","-169.31167","P-19","20","1986","07/04/1986 06:00",".01",".2225","Arctic cod","Boreogadus saida","21725","48","1.2","5.3","57","198602","114                                                                                                                                                                                                                                                                                                                                                                                               "
"44031","60.34133","-170.60617","Q-21","41","1986","07/04/1986 13:00",".279","10.3242","Arctic cod","Boreogadus saida","21725","64","-1.5","6.5","57","198602","116                                                                                                                                                                                                                                                                                                                                                                                          "
"44079","60.654","-171.431","R-22","41","1986","07/08/1986 15:00",".1459","6.0056","Arctic cod","Boreogadus saida","21725","60","-1.3","7.8","37","198601","127                                                                                                                                                                                                                                                                                                                                                                                              "
"44229","59.34183","-172.51517","N-24","43","1986","07/10/1986 11:00",".029",".4268","Arctic cod","Boreogadus saida","21725","88","-.5","7.4","37","198601","136                                                                                                                                                                                                                                                                                                                                                                                             "
"44395","58.6845","-170.44467","L-21","41","1986","07/05/1986 15:00",".0201",".6629","Arctic cod","Boreogadus saida","21725","77","-1.1","5.1","57","198602","121                                                                                                                                                                                                                                                                                                                                                                                            "
"44766","59.34567","-170.54083","N-21","41","1986","07/05/1986 09:00",".121","2.669","Arctic cod","Boreogadus saida","21725","71","-1.2","5.2","57","198602","119                                                                                                                                                                                                                                                                                                                                                                                            "
"45217","58.33083","-168.45983","K-18","41","1986","06/29/1986 18:00",".0278",".6143","Arctic cod","Boreogadus saida","21725","64",".7","6.6","37","198601","89                                                                                                                                                                                                                                                                                                                                                                                              "
"45295","58.98933","-171.12817","M-22","41","1986","07/07/1986 16:00",".019",".417","Arctic cod","Boreogadus saida","21725","77","-1.1","6.7","37","198601","122                                                                                                                                                                                                                                                                                                                                                                                             "
"46015","58.33733","-170.378","K-21","41","1986","07/05/1986 18:00",".0097",".2166","Arctic cod","Boreogadus saida","21725","79","-.1","6","57","198602","122                                                                                                                                                                                                                                                                                                                                                                                                "
"46255","57.99467","-168.448","J-18","42","1986","06/29/1986 11:00",".0096",".2138","Arctic cod","Boreogadus saida","21725","68",".8","4.2","37","198601","87                                                                                                                                                                                                                                                                                                                                                                                                "
"46377","59.00817","-169.84083","M-20","41","1986","07/02/1986 09:00",".0463","1.4282","Arctic cod","Boreogadus saida","21725","60",".5","3.9","37","198601","100                                                                                                                                                                                                                                                                                                                                                                                            "
"46694","59.016","-170.485","M-21","41","1986","07/05/1986 12:00",".111","1.5569","Arctic cod","Boreogadus saida","21725","73","-1.1","5.1","57","198602","120                                                                                                                                                                                                                                                                                                                                                                                               "
"47298","57.6595","-165.87483","I-04","31","1986","06/26/1986 07:00",".0092",".204","Arctic cod","Boreogadus saida","21725","62","1.2","3.8","37","198601","71                                                                                                                                                                                                                                                                                                                                                                                               "
"48082","59.326","-171.1765","N-22","41","1986","07/07/1986 18:00",".164","5.4276","Arctic cod","Boreogadus saida","21725","73","-1.2","7.1","37","198601","123                                                                                                                                                                                                                                                                                                                                                                                              "
"48241","58.01917","-159.603","J-14","10","1986","06/05/1986 07:00",".0104",".2315","Arctic cod","Boreogadus saida","21725","40","2.3","2.9","37","198601","5                                                                                                                                                                                                                                                                                                                                                                                                "
"48338","58.673","-169.794","L-20","41","1986","07/02/1986 12:00",".0562","1.6516","Arctic cod","Boreogadus saida","21725","66","1.8","4.5","37","198601","101                                                                                                                                                                                                                                                                                                                                                                                               "
"48394","59.33033","-169.87133","N-20","41","1986","07/02/1986 07:00",".0451","1.3921","Arctic cod","Boreogadus saida","21725","60","-.8","5.1","37","198601","99                                                                                                                                                                                                                                                                                                                                                                                            "
"60708","58.65833","-169.78567","L-20","41","1988","07/06/1988 16:00",".0229",".2521","Arctic cod","Boreogadus saida","21725","66","1.2","6.4","37","198801","121                                                                                                                                                                                                                                                                                                                                                                                            "
"60988","58.66267","-167.21433","L-02","20","1988","06/27/1988 17:00",".0119",".2639","Arctic cod","Boreogadus saida","21725","42","2.6","5.7","37","198801","86                                                                                                                                                                                                                                                                                                                                                                                             "
"61591","58.6775","-171.09167","L-22","41","1988","07/09/1988 12:00",".2198","5.3539","Arctic cod","Boreogadus saida","21725","80","-1.1","8","37","198801","134                                                                                                                                                                                                                                                                                                                                                                                             "
"62150","61.84117","-175.04683","V-27","82","1987","07/23/1987 11:00",".03",".8837","Arctic cod","Boreogadus saida","21725","80","0","8.2","19","198701","154                                                                                                                                                                                                                                                                                                                                                                                                "
"64621","60.688","-172.11783","R-23","41","1987","07/08/1987 09:00",".0489",".4304","Arctic cod","Boreogadus saida","21725","60","-.5","-9999","19","198701","120                                                                                                                                                                                                                                                                                                                                                                                            "
"64669","60.98133","-172.13917","S-23","41","1987","07/08/1987 06:00",".0164",".1805","Arctic cod","Boreogadus saida","21725","64",".9","-9999","19","198701","119                                                                                                                                                                                                                                                                                                                                                                                           "
"64868","60.01567","-171.99883","P-23","43","1987","07/09/1987 08:00",".0569",".5016","Arctic cod","Boreogadus saida","21725","66",".4","-9999","19","198701","123                                                                                                                                                                                                                                                                                                                                                                                           "
"65152","60.995","-171.45333","S-22","41","1987","07/08/1987 06:00",".3621","8.5843","Arctic cod","Boreogadus saida","21725","59","-1","7.4","37","198701","138                                                                                                                                                                                                                                                                                                                                                                                              "
"66085","61.98533","-173.51483","V-25","82","1988","07/21/1988 10:00","3.2189","118.3564","Arctic cod","Boreogadus saida","21725","59","-1.6","7.3","37","198801","160                                                                                                                                                                                                                                                                                                                                                                                       "
"66155","61.9965","-175.90383","V-28","82","1988","07/28/1988 07:00",".0329","1.2079","Arctic cod","Boreogadus saida","21725","93","-1.5","7.1","37","198801","183                                                                                                                                                                                                                                                                                                                                                                                           "
"66259","62.00033","-174.37683","V-26","82","1988","07/21/1988 13:00","3.5077","128.8911","Arctic cod","Boreogadus saida","21725","71","-1.6","7.5","37","198801","161                                                                                                                                                                                                                                                                                                                                                                                       "
"67105","59.32583","-171.85483","N-23","43","1988","07/09/1988 11:00",".1047","2.9992","Arctic cod","Boreogadus saida","21725","82","-1","8.1","78","198801","138                                                                                                                                                                                                                                                                                                                                                                                            "
"67148","59.33","-171.16883","N-22","41","1988","07/09/1988 06:00",".2558","7.3563","Arctic cod","Boreogadus saida","21725","73","-.2","8","37","198801","132                                                                                                                                                                                                                                                                                                                                                                                                "
"67216","59.9845","-172.65017","P-24","43","1988","07/20/1988 09:00",".3682","11.0924","Arctic cod","Boreogadus saida","21725","66","-.1","7.2","37","198801","155                                                                                                                                                                                                                                                                                                                                                                                           "
"67261","61.66933","-174.41067","U-26","82","1988","07/21/1988 16:00",".5544","18.3292","Arctic cod","Boreogadus saida","21725","77","-1.6","7.6","37","198801","162                                                                                                                                                                                                                                                                                                                                                                                         "
